"Date" "Nationality" "Cause of death" "Mountain"
"2019-02-24" "United Kingdom" "Unknown" "Nanga Parbat"
"2018-01-28" "Poland" "Altitude sickness" "Nanga Parbat"
"2017-06-24" "Spain" "Avalanche" "Nanga Parbat"
"2017-06-24" "Argentina" "Avalanche" "Nanga Parbat"
"2013-06-22" "Ukraine" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Ukraine" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Ukraine" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "China" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "China" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "China (USA/China dual national)" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Nepal" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Lithuania" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Pakistan" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Slovakia" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-06-22" "Slovakia" "Killed by Taliban at Diamir Base Camp" "Nanga Parbat"
"2013-02-06" "France" "Avalanche" "Nanga Parbat"
"2009-07-11" "South Korea" "Fall" "Nanga Parbat"
"2009-07-10" "Austria" "Fall" "Nanga Parbat"
"2008-07-17" "Iran" "Unknown" "Nanga Parbat"
"2008-07-15" "Italy" "Fell into crevasse" "Nanga Parbat"
"2006-07-28" "Japan" "Unknown" "Nanga Parbat"
"2006-07-22" "Venezuela" "Exposure" "Nanga Parbat"
"2004-07-01" "Germany" "Fall" "Nanga Parbat"
"1998-07-26" "Japan" "Fall" "Nanga Parbat"
"1997-07-30" "Spain" "Fell during descent" "Nanga Parbat"
"1996-06-20" "Romania" "Avalanche" "Nanga Parbat"
"1996-06-20" "Romania" "Avalanche" "Nanga Parbat"
"1994-06-24" "Spain" "Fall" "Nanga Parbat"
"1993-07-07" "South Korea" "Unknown" "Nanga Parbat"
"1990-08-18" "Japan" "Fall" "Nanga Parbat"
"1990-07-03" "South Korea" "Fall into a crevasse" "Nanga Parbat"
"1989-07-18" "Japan" "Lightning strike" "Nanga Parbat"
"1989-06-23" "South Korea" "Fall" "Nanga Parbat"
"1985-07-10" "Poland" "Avalanche" "Nanga Parbat"
"1984-12-08" "Japan" "Fall" "Nanga Parbat"
"1984-07-07" "Japan" "Avalanche" "Nanga Parbat"
"1984-07-07" "Japan" "Avalanche" "Nanga Parbat"
"1984-07-07" "Japan" "Avalanche" "Nanga Parbat"
"1984-07-07" "Japan" "Avalanche" "Nanga Parbat"
"1983-07-12" "Japan" "Avalanche" "Nanga Parbat"
"1983-07-12" "Japan" "Avalanche" "Nanga Parbat"
"1983-07-12" "Japan" "Avalanche" "Nanga Parbat"
"1983-06-17" "Japan" "Fall" "Nanga Parbat"
"1982-06-08" "Switzerland" "Altitude sickness" "Nanga Parbat"
"1982-06-12" "Pakistan" "Fall" "Nanga Parbat"
"1982-06-04" "Switzerland" "Avalanche" "Nanga Parbat"
"1982-04-28" "Pakistan" "Fall into crevasse" "Nanga Parbat"
"1977-07-31" "United States" "Avalanche" "Nanga Parbat"
"1977-07-31" "United States" "Avalanche" "Nanga Parbat"
"1976-09-26" "Austria" "Fall" "Nanga Parbat"
"1971-07-08" "Pakistan" "Fall" "Nanga Parbat"
"1970-06-29" "Italy" "Avalanche" "Nanga Parbat"
"1962-06-23" "West Germany" "Fall" "Nanga Parbat"
"1950-12-04" "United Kingdom" "Unknown" "Nanga Parbat"
"1950-12-04" "United Kingdom" "Unknown" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Nazi Germany" "Avalanche" "Nanga Parbat"
"1937-06-15" "Austria" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1937-06-15" "British Raj" "Avalanche" "Nanga Parbat"
"1934-07-17" "Nazi Germany" "Unknown" "Nanga Parbat"
"1934-07-17" "British Raj" "Unknown" "Nanga Parbat"
"1934-07-12" "Nazi Germany" "Exposure" "Nanga Parbat"
"1934-07-10" "British Raj" "Unknown" "Nanga Parbat"
"1934-07-10" "British Raj" "Exposure" "Nanga Parbat"
"1934-07-10" "British Raj" "Exposure" "Nanga Parbat"
"1934-07-10" "British Raj" "Exposure" "Nanga Parbat"
"1934-07-09" "British Raj" "Unknown" "Nanga Parbat"
"1934-07-09" "Nazi Germany" "Unknown" "Nanga Parbat"
"1934-06-08" "Nazi Germany" "Pneumonia" "Nanga Parbat"
"1895-08-24" "United Kingdom" "Avalanche" "Nanga Parbat"
"1895-08-24" "Nepal" "Avalanche" "Nanga Parbat"
"1895-08-24" "Nepal" "Avalanche" "Nanga Parbat"
"2023-04-18" "United Kingdom" "Exposure" "Annapurna I"
"2019-05-03" "Malaysia" "Hypothermia/Frostbite" "Annapurna I"
"2015-03-24" "Finland" "Fall" "Annapurna I"
"2015-03-24" "Nepal" "Fall" "Annapurna I"
"2012-10-07" "Uzbekistan" "Avalanche" "Annapurna I"
"2012-10-07" "Uzbekistan" "Avalanche" "Annapurna I"
"2012-05-05" "Hungary" "Avalanche" "Annapurna I"
"2011-10-18" "South Korea" "Unknown" "Annapurna I"
"2011-10-18" "South Korea" "Unknown" "Annapurna I"
"2011-10-18" "South Korea" "Unknown" "Annapurna I"
"2010-04-29" "Spain" "Unknown" "Annapurna I"
"2009-04-01" "Czech Republic" "Fell into Crevasse" "Annapurna I"
"2008-05-23" "Spain" "HACE" "Annapurna I"
"2007-04-22" "Nepal" "Unknown" "Annapurna I"
"2006-10-22" "Nepal" "Avalanche" "Annapurna I"
"2005-05-18" "Italy" "Avalanche" "Annapurna I"
"2004-10-10" "Japan" "Avalanche" "Annapurna I"
"2004-10-10" "Japan" "Avalanche" "Annapurna I"
"1999-04-29" "South Korea" "Unknown" "Annapurna I"
"1999-04-29" "Nepal" "Unknown" "Annapurna I"
"1998-04-26" "Nepal" "Avalanche" "Annapurna I"
"1997-12-25" "Kazakhstan" "Avalanche" "Annapurna I"
"1997-12-25" "Kazakhstan" "Avalanche" "Annapurna I"
"1997-03-23" "Nepal" "Fall" "Annapurna I"
"1992-10-11" "France" "Fall" "Annapurna I"
"1991-10-20" "Belgium" "Unknown" "Annapurna I"
"1991-09-19" "South Korea" "Avalanche" "Annapurna I"
"1991-09-19" "South Korea" "Avalanche" "Annapurna I"
"1991-09-19" "Nepal" "Avalanche" "Annapurna I"
"1991-09-19" "Nepal" "Avalanche" "Annapurna I"
"1991-09-19" "Nepal" "Avalanche" "Annapurna I"
"1991-09-19" "Nepal" "Avalanche" "Annapurna I"
"1989-10-28" "Bulgaria" "Unknown" "Annapurna I"
"1989-10-28" "Bulgaria" "Unknown" "Annapurna I"
"1988-10-18" "Ecuador" "Fall" "Annapurna I"
"1988-10-01" "Czechoslovakia" "Fall on descent" "Annapurna I"
"1988-09-29" "Japan" "Avalanche" "Annapurna I"
"1988-09-29" "Japan" "Avalanche" "Annapurna I"
"1987-12-20" "Japan" "Fall" "Annapurna I"
"1987-12-20" "Japan" "Fall" "Annapurna I"
"1987-05-24" "Spain" "Fall" "Annapurna I"
"1986-09-23" "France" "Fall" "Annapurna I"
"1984-12-07" "Nepal" "Unknown" "Annapurna I"
"1984-12-07" "Nepal" "Unknown" "Annapurna I"
"1984-04-21" "France" "Avalanche" "Annapurna I"
"1984-04-21" "France" "Avalanche" "Annapurna I"
"1983-09-24" "South Korea" "Avalanche" "Annapurna I"
"1983-09-24" "Nepal" "Avalanche" "Annapurna I"
"1983-09-24" "Nepal" "Avalanche" "Annapurna I"
"1982-10-18" "Japan" "Avalanche" "Annapurna I"
"1982-10-18" "Japan" "Avalanche" "Annapurna I"
"1982-10-17" "United Kingdom" "Rock fall" "Annapurna I"
"1982-05-12" "Nepal" "Fall" "Annapurna I"
"1982-05-04" "Switzerland" "Heart attack" "Annapurna I"
"1981-10-31" "Japan" "Fall" "Annapurna I"
"1981-09-28" "France" "Avalanche" "Annapurna I"
"1981-09-28" "France" "Avalanche" "Annapurna I"
"1981-09-27" "Nepal" "Avalanche" "Annapurna I"
"1981-09-27" "Nepal" "Avalanche" "Annapurna I"
"1979-09-19" "United Kingdom" "Avalanche" "Annapurna I"
"1979-09-19" "United States" "Avalanche" "Annapurna I"
"1979-09-19" "United States" "Avalanche" "Annapurna I"
"1979-05-01" "France" "Exhaustion" "Annapurna I"
"1978-10-17" "United Kingdom" "Fall" "Annapurna I"
"1978-10-17" "United States" "Fall" "Annapurna I"
"1975-04-16" "Austria" "Avalanche" "Annapurna I"
"1973-09-26" "Italy" "Avalanche" "Annapurna I"
"1973-09-26" "Italy" "Avalanche" "Annapurna I"
"1973-05-18" "Japan" "Avalanche" "Annapurna I"
"1973-05-18" "Japan" "Avalanche" "Annapurna I"
"1973-05-18" "Japan" "Avalanche" "Annapurna I"
"1973-05-18" "Japan" "Avalanche" "Annapurna I"
"1973-05-18" "Nepal" "Avalanche" "Annapurna I"
"1970-05-30" "United Kingdom" "Serac fall" "Annapurna I"
"2013-08-09" "Czech Republic" "Fall" "Gasherbrum I"
"2013-07-22" "Spain" "Disappeared" "Gasherbrum I"
"2013-07-22" "Spain" "Disappeared" "Gasherbrum I"
"2013-07-22" "Spain" "Disappeared" "Gasherbrum I"
"2013-07-07" "Poland" "Fall" "Gasherbrum I"
"2012-03-09" "Austria" "Disappeared" "Gasherbrum I"
"2012-03-09" "Switzerland" "Disappeared" "Gasherbrum I"
"2012-03-09" "Pakistan" "Disappeared" "Gasherbrum I"
"2008-06-18" "France" "Fall into crevasse" "Gasherbrum I"
"2007-07-29" "Czech Republic" "Fall" "Gasherbrum I"
"2005-08-05" "Nepal" "Fall" "Gasherbrum I"
"2004-07-25" "Spain" "Fall" "Gasherbrum I"
"2003-09-07" "Iran" "Avalanche caused injuries  died in hospital"
"2003-07-15" "Ukraine" "Stone fall" "Gasherbrum I"
"2003-07-05" "Spain" "Disappeared" "Gasherbrum I"
"2003-07-05" "Argentina" "Disappeared" "Gasherbrum I"
"2001-07-09" "Chile" "Fall  after successfully summiting"
"1998-08-01" "Japan" "Avalanche" "Gasherbrum I"
"1998-08-01" "Japan" "Avalanche" "Gasherbrum I"
"1998-08-01" "Japan" "Avalanche" "Gasherbrum I"
"1998-08-01" "Japan" "Avalanche" "Gasherbrum I"
"1996-07-17" "Spain" "Fall (between Camp III and Camp II)" "Gasherbrum I"
"1993-05-30" "Italy" "Slab avalanche (below Camp I)" "Gasherbrum I"
"1990-08-19" "Spain" "Disappeared" "Gasherbrum I"
"1990-08-19" "Spain" "Disappeared" "Gasherbrum I"
"1989-07-12" "Nepal" "Fall" "Gasherbrum I"
"1988-06-25" "Mexico" "Pulmonary edema" "Gasherbrum I"
"1987-07-29" "Pakistan" "Avalanche" "Gasherbrum I"
"1987-07-29" "Pakistan" "Avalanche" "Gasherbrum I"
"1987-07-29" "Pakistan" "Avalanche" "Gasherbrum I"
"1987-07-29" "Pakistan" "Avalanche" "Gasherbrum I"
"1986-08-18" "Switzerland" "Fall" "Gasherbrum I"
"1986-05-31" "Pakistan" "Pneumonia" "Gasherbrum I"
"1977-06-10" "Yugoslavia" "Disappeared" "Gasherbrum I"
"2022-07-19" "United Kingdom" "Fall" "Broad Peak"
"2022-07-05" "Pakistan" "Fall" "Broad Peak"
"2021-07-19" "South Korea" "Fall" "Broad Peak"
"2015-07-01" "Pakistan" "Avalanche" "Broad Peak"
"2013-07-23" "Iran" "Disappeared" "Broad Peak"
"2013-07-23" "Iran" "Disappeared" "Broad Peak"
"2013-07-23" "Iran" "Disappeared" "Broad Peak"
"2013-07-08" "Germany" "Slipped into a glacial stream near base camp" "Broad Peak"
"2013-03-06" "Poland" "Disappeared" "Broad Peak"
"2013-03-06" "Poland" "Presumably exhaustion" "Broad Peak"
"2012-07-31" "Pakistan" "Fall" "Broad Peak"
"2012-07-31" "Czech Republic" "Disappeared" "Broad Peak"
"2011-07-25" "Hong Kong" "Fall in crevasse" "Broad Peak"
"2009-07-18" "Italy" "Fall" "Broad Peak"
"2008-06-30" "Slovakia" "Disappeared" "Broad Peak"
"2006-07-08" "Austria" "Exhaustion" "Broad Peak"
"1999-07-11" "South Korea" "Disappeared" "Broad Peak"
"1998-07-29" "France" "Disappeared" "Broad Peak"
"1998-07-29" "France" "Disappeared" "Broad Peak"
"1997-07-16" "United States" "Avalanche" "Broad Peak"
"1997-07-16" "Japan" "Avalanche" "Broad Peak"
"1996-07-20" "South Korea" "Died on descent due to bad weather" "Broad Peak"
"1996-07-20" "South Korea" "Died on descent due to bad weather" "Broad Peak"
"1996-07-20" "South Korea" "Died on descent due to bad weather" "Broad Peak"
"1995-07-12" "South Korea" "Fall" "Broad Peak"
"1994-06-22" "Czech Republic" "Fall" "Broad Peak"
"1994-06-11" "Czech Republic" "Pulmonary edema" "Broad Peak"
"1990-07-24" "West Germany" "Fall" "Broad Peak"
"1988-08-20" "South Korea" "Avalanche" "Broad Peak"
"1986-08-22" "United Kingdom" "Fell" "Broad Peak"
"1985-08-18" "Poland" "Drowned in a glacier stream above BC" "Broad Peak"
"1985-05-16" "Canada" "Avalanche" "Broad Peak"
"1983-06-29" "United Kingdom" "Pulmonary edema" "Broad Peak"
"1981-08-05" "Spain" "Fall" "Broad Peak"
"1975-07-29" "Poland" "Fall" "Broad Peak"
"1975-07-29" "Poland" "Fall" "Broad Peak"
"1975-07-28" "Poland" "Fall" "Broad Peak"
"2022-07-05" "Pakistan" "Slipped into a glacial stream near base camp" "Gasherbrum II"
"2015-07-25" "Poland" "Avalanche" "Gasherbrum II"
"2011-07-22" "Iran" "Fall on descent" "Gasherbrum II"
"2009-07-21" "Spain" "Disappeared" "Gasherbrum II"
"2007-07-18" "Germany" "Avalanche" "Gasherbrum II"
"2007-07-18" "Germany" "Avalanche" "Gasherbrum II"
"2007-07-03" "Austria" "Possibly Heart Failure" "Gasherbrum II"
"2001-07-20" "Belgium" "Fall" "Gasherbrum II"
"2000-07-28" "Spain" "Fall" "Gasherbrum II"
"1989-07-13" "Spain" "Fall" "Gasherbrum II"
"1988-07-09" "United States" "Illness" "Gasherbrum II"
"1988-07-06" "France" "Pulmonary Edema" "Gasherbrum II"
"1988-06-25" "France" "Fall on snowboard" "Gasherbrum II"
"1987-06-29" "Switzerland" "Fall" "Gasherbrum II"
"1986-07-12" "Spain" "Illness" "Gasherbrum II"
"1985-07-11" "France" "Illness" "Gasherbrum II"
"1985-06-24" "Japan" "Fall" "Gasherbrum II"
"1982-07-01" "Austria" "Cold" "Gasherbrum II"
"1982-07-01" "West Germany" "Disappeared" "Gasherbrum II"
"1982-07-02" "United States" "Avalanche" "Gasherbrum II"
"1976-06-01" "Japan" "Exhaustion" "Gasherbrum II"
"1976-05-27" "Japan" "Fall" "Gasherbrum II"
"1976-05-27" "Japan" "Fall" "Gasherbrum II"
"1975-06-01" "France" "Cold  exhaustion"
"2018-05-03" "Bulgaria" "Disappearance" "Shishapangma"
"2016-09-30" "Nepal" "Avalanche" "Shishapangma"
"2016-04-24" "Switzerland" "Fall in crevasse" "Shishapangma"
"2016-04-24" "Australia" "Fall in crevasse" "Shishapangma"
"2014-09-24" "Germany" "Avalanche" "Shishapangma"
"2014-09-24" "Italy" "Avalanche" "Shishapangma"
"2013-05-11" "Germany" "HAPE" "Shishapangma"
"2009-10-15" "Italy" "Fall" "Shishapangma"
"2007-04-24" "Slovakia" "Disappearance" "Shishapangma"
"2006-10-31" "Portugal" "Fall" "Shishapangma"
"2005-10-03" "Russia" "Disappearance" "Shishapangma"
"2005-09-28" "Czech Republic" "Altitude sickness" "Shishapangma"
"1999-10-05" "United States" "Avalanche" "Shishapangma"
"1999-10-05" "United States" "Avalanche" "Shishapangma"
"1998-05-21" "Italy" "Illness" "Shishapangma"
"1996-10-05" "Ukraine" "Avalanche" "Shishapangma"
"1996-10-05" "Ukraine" "Avalanche" "Shishapangma"
"1996-05-19" "Taiwan" "Fall" "Shishapangma"
"1996-05-01" "Slovakia" "Disappeared on descent" "Shishapangma"
"1994-10-01" "Czech Republic" "Avalanche" "Shishapangma"
"1994-09-18" "United States" "Fall in crevasse" "Shishapangma"
"1993-09-29" "South Korea" "Fall" "Shishapangma"
"1991-09-20" "Japan" "Avalanche" "Shishapangma"
"1991-09-20" "Japan" "Avalanche" "Shishapangma"
"1991-05-22" "Germany" "Disappearance (probably avalanche)" "Shishapangma"
"1991-05-22" "Germany" "Disappearance (probably avalanche)" "Shishapangma"
"1991-05-22" "Germany" "Disappearance (probably avalanche)" "Shishapangma"
"1991-05-22" "Germany" "Disappearance (probably avalanche)" "Shishapangma"
"1990-10-15" "Spain" "Exposure" "Shishapangma"
"1989-10-04" "Switzerland" "Avalanche" "Shishapangma"
"1983-04-28" "Switzerland" "Altitude sickness" "Shishapangma"
"1921-06-05" "United Kingdom" "Heart attack" "Mount Everest"
"1921-06-05" "" "" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1922-06-07" "Nepal" "Avalanche" "Mount Everest"
"1924-05-13" "Nepal" "Pneumonia" "Mount Everest"
"1924-05-17" "Nepal" "Brain hemorrhage" "Mount Everest"
"1924-06-09" "United Kingdom" "Unknown." "Mount Everest"
"1924-06-09" "United Kingdom" "Possible ice axe injury following a fall." "Mount Everest"
"1934-05-31" "United Kingdom" "Possible exhaustion  exposure or starvation."
"1952-10-31" "Nepal" "Falling ice" "Mount Everest"
"1960-04-11" "China" "Mountain sickness" "Mount Everest"
"1960-04-29" "China" "" "Mount Everest"
"1962-04-28" "Nepal" "" "Mount Everest"
"1963-03-23" "United States" "Crushed under serac" "Mount Everest"
"1966-05-01" "China" "Fall" "Mount Everest"
"1969-10-18" "Nepal" "Fall into a crevasse" "Mount Everest"
"1970-04-05" "Nepal" "Avalanche" "Mount Everest"
"1970-04-05" "Nepal" "Avalanche" "Mount Everest"
"1970-04-05" "Nepal" "Avalanche" "Mount Everest"
"1970-04-05" "Nepal" "Avalanche" "Mount Everest"
"1970-04-05" "Nepal" "Avalanche" "Mount Everest"
"1970-04-09" "Nepal" """by fall of seracs""" "Mount Everest"
"1970-04-21" "Japan" "Heart attack" "Mount Everest"
"1971-04-18" "India" "Succumbed after falling and being suspended above a crevasse during a blizzard" "Mount Everest"
"1972-11-16" "Australia" "Crushed under serac" "Mount Everest"
"1973-10-12" "Nepal" "Avalanche" "Mount Everest"
"1974-09-09" "France" "Avalanche" "Mount Everest"
"1974-09-09" "Nepal" "Avalanche" "Mount Everest"
"1974-09-09" "Nepal" "Avalanche" "Mount Everest"
"1974-09-09" "Nepal" "Avalanche" "Mount Everest"
"1974-09-09" "Nepal" "Avalanche" "Mount Everest"
"1974-09-09" "Nepal" "Avalanche" "Mount Everest"
"1975-05-04" "China" "Exhaustion  fall"
"1975-08-01" "Nepal" "Drowned" "Mount Everest"
"1975-09-26" "United Kingdom" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1976-04-10" "United Kingdom" "Fall into a crevasse" "Mount Everest"
"1978-04-18" "Nepal" "Fall into a crevasse" "Mount Everest"
"1978-04-18" "China" "Fall into a crevasse" "Mount Everest"
"1979-05-16" "Nepal" "Fall" "Mount Everest"
"1979-10-02" "United States" "Exposure  exhaustion"
"1979-10-02" "West Germany" "Exposure  exhaustion"
"1979-10-12" "China" "Avalanche" "Mount Everest"
"1979-10-12" "China" "Avalanche" "Mount Everest"
"1979-10-12" "China" "Avalanche" "Mount Everest"
"1980-05-02" "Japan" "Avalanche" "Mount Everest"
"1980-09-06" "Nepal" "Fall" "Mount Everest"
"1980-09-22" "Italy" "Crushed under serac" "Mount Everest"
"1981-01-12" "Japan" "Fall" "Mount Everest"
"1982-05-15" "United States" "Fall" "Mount Everest"
"1982-05-17" "United Kingdom" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1982-05-17" "United Kingdom" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1982-08-31" "Nepal" "Avalanche" "Mount Everest"
"1982-08-31" "Nepal" "Avalanche" "Mount Everest"
"1982-08-31" "Nepal" "Avalanche" "Mount Everest"
"1982-09-02" "Canada" "Crushed under serac" "Mount Everest"
"1982-09-27" "Nepal" "Internal hemorrhage" "Mount Everest"
"1982-10-14" "Nepal" "Fall" "Mount Everest"
"1982-12-28" "Japan" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1982-12-28" "Japan" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1983-10-08" "Japan" "Fall" "Mount Everest"
"1983-10-08" "Nepal" "Fall" "Mount Everest"
"1983-10-09" "Japan" "Fall" "Mount Everest"
"1984-03-26" "Nepal" "Avalanche" "Mount Everest"
"1984-04-03" "United Kingdom" "Avalanche" "Mount Everest"
"1984-04-21" "Bulgaria" "Disappearance (likely accidental death during descent)" "Mount Everest"
"1984-10-09" "Australia" "Fall  while searching for Craig Nottle"
"1984-10-09" "Australia" "Fall" "Mount Everest"
"1984-10-16" "Czechoslovakia" "Fall" "Mount Everest"
"1984-10-24" "Nepal" "Fall" "Mount Everest"
"1984-10-24" "Nepal" "Fall" "Mount Everest"
"1985-05-12" "Spain" "Fall" "Mount Everest"
"1985-09-19" "Japan" "Avalanche" "Mount Everest"
"1985-10-07" "India" "Fall" "Mount Everest"
"1985-10-11" "India" "Exposure" "Mount Everest"
"1985-10-11" "India" "Exposure" "Mount Everest"
"1985-10-11" "India" "Exposure" "Mount Everest"
"1985-10-11" "India" "Exposure" "Mount Everest"
"1986-08-16" "Chile" "Avalanche" "Mount Everest"
"1986-09-28" "Switzerland" "Avalanche" "Mount Everest"
"1986-10-04" "Nepal" "Crushed under serac" "Mount Everest"
"1986-10-17" "Nepal" "Avalanche" "Mount Everest"
"1987-01-30" "Nepal" "Fall" "Mount Everest"
"1987-05-21" "Canada" "Disappearance (likely accidental death during descent)" "Mount Everest"
"1987-09-02" "Japan" "Drowned" "Mount Everest"
"1987-10-20" "Nepal" "Avalanche" "Mount Everest"
"1988-04-21" "Japan" "Heart attack (at Base camp)" "Mount Everest"
"1988-09-20" "France" "Exposure" "Mount Everest"
"1988-09-21" "Nepal" "Avalanche" "Mount Everest"
"1988-10-13" "Nepal" "Fall" "Mount Everest"
"1988-10-13" "Nepal" "Fall" "Mount Everest"
"1988-10-17" "Czechoslovakia" "Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]" "Mount Everest"
"1988-10-17" "Czechoslovakia" "Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]" "Mount Everest"
"1988-10-17" "Czechoslovakia" "Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]" "Mount Everest"
"1988-10-17" "Czechoslovakia" "Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[76][77]" "Mount Everest"
"1988-12-23" "Nepal" "Cerebral thrombosis" "Mount Everest"
"1989-05-10" "Yugoslavia" "Fall" "Mount Everest"
"1989-05-16" "Nepal" "Fall" "Mount Everest"
"1989-05-27" "Poland" "Avalanche" "Mount Everest"
"1989-05-27" "Poland" "Avalanche" "Mount Everest"
"1989-05-27" "Poland" "Avalanche" "Mount Everest"
"1989-05-27" "Poland" "Avalanche" "Mount Everest"
"1989-05-28" "Poland" "Avalanche injuries" "Mount Everest"
"1989-12-12" "Nepal" "Altitude sickness  heart attack"
"1990-09-14" "Spain" "Avalanche" "Mount Everest"
"1990-09-14" "Nepal" "Avalanche" "Mount Everest"
"1990-09-14" "Nepal" "Avalanche" "Mount Everest"
"1990-10-07" "South Korea" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1991-05-03" "Germany" "Exposure" "Mount Everest"
"1991-05-27" "Japan" "Fall" "Mount Everest"
"1992-05-02" "India" "Exposure" "Mount Everest"
"1992-05-02" "India" "Exposure" "Mount Everest"
"1992-05-11" "Nepal" "Heart attack" "Mount Everest"
"1992-05-23" "India" "Fall" "Mount Everest"
"1992-05-23" "Japan" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1993-01-15" "Nepal" "Fall" "Mount Everest"
"1993-04-23" "Nepal" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1993-04-23" "Nepal" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1993-05-10" "Nepal" "Fall" "Mount Everest"
"1993-05-16" "South Korea" "Fall" "Mount Everest"
"1993-05-17" "South Korea" "Fall" "Mount Everest"
"1993-10-05" "United States" "HAPE" "Mount Everest"
"1993-10-07" "Spain" "Fall" "Mount Everest"
"1994-04-06" "Nepal" "Cerebral oedema" "Mount Everest"
"1994-05-09" "Taiwan" "Exhaustion and/or exposure" "Mount Everest"
"1994-05-18" "Italy" "Fall" "Mount Everest"
"1994-05-27" "Australia" "150m fall. He showed signs of exhaustion  dehydration
"1994-09-12" "Nepal" "Avalanche" "Mount Everest"
"1995-05-06" "Nepal" "Fall" "Mount Everest"
"1995-09-10" "Nepal" "" "Mount Everest"
"1995-10-14" "Nepal" "Fall" "Mount Everest"
"1996-05-09" "Taiwan" "Injuries from a fall" "Mount Everest"
"1996-05-11" "United States" "Suspected HACE (high-altitude cerebral edema)  exhaustion
"1996-05-11" "New Zealand" "Exposure" "Mount Everest"
"1996-05-11" "United States" "Exposure" "Mount Everest"
"1996-05-11" "New Zealand" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1996-05-11" "Japan" "Exposure" "Mount Everest"
"1996-05-11" "India" "Exposure" "Mount Everest"
"1996-05-11" "India" "Exposure" "Mount Everest"
"1996-05-11" "India" "Exposure" "Mount Everest"
"1996-05-19" "Austria" "Altitude sickness" "Mount Everest"
"1996-05-25" "United Kingdom" "Rope accident" "Mount Everest"
"1996-06-06" "Nepal" "Lapsed into coma on 23 Apr 1996; later died in hospital" "Mount Everest"
"1996-09-25" "France" "Avalanche" "Mount Everest"
"1996-09-25" "Nepal" "Avalanche" "Mount Everest"
"1996-09-25" "Nepal" "Avalanche" "Mount Everest"
"1997-04-23" "United Kingdom" "Heart attack (at Base camp)" "Mount Everest"
"1997-05-06" "United Kingdom" "Fall" "Mount Everest"
"1997-05-07" "Russia" "Fall" "Mount Everest"
"1997-05-07" "Russia" "Exhaustion and/or exposure" "Mount Everest"
"1997-05-07" "Russia" "Exhaustion and/or exposure" "Mount Everest"
"1997-05-07" "Nepal" "Fall" "Mount Everest"
"1997-05-08" "Germany" "Disappearance (likely accidental death during climb)" "Mount Everest"
"1997-09-08" "Nepal" "Disappearance (likely accidental death during climb)" "Mount Everest"
